AUC,FPR,TPR
0.7803030303030304,0.0,0.0
0.7803030303030304,0.022727272727272728,0.0
0.7803030303030304,0.03409090909090909,0.0
0.7803030303030304,0.03409090909090909,0.16666666666666666
0.7803030303030304,0.125,0.16666666666666666
0.7803030303030304,0.125,0.25
0.7803030303030304,0.14772727272727273,0.25
0.7803030303030304,0.14772727272727273,0.3333333333333333
0.7803030303030304,0.20454545454545456,0.3333333333333333
0.7803030303030304,0.20454545454545456,0.4166666666666667
0.7803030303030304,0.23863636363636365,0.4166666666666667
0.7803030303030304,0.23863636363636365,0.5
0.7803030303030304,0.2840909090909091,0.5
0.7803030303030304,0.2840909090909091,0.5833333333333334
0.7803030303030304,0.29545454545454547,0.5833333333333334
0.7803030303030304,0.29545454545454547,0.75
0.7803030303030304,0.3181818181818182,0.75
0.7803030303030304,0.3181818181818182,0.8333333333333334
0.7803030303030304,0.32954545454545453,0.8333333333333334
0.7803030303030304,0.32954545454545453,1.0
0.7803030303030304,0.9431818181818182,1.0
0.7803030303030304,0.9659090909090909,1.0
0.7803030303030304,1.0,1.0
