AUC,FPR,TPR
0.5350378787878788,0.0,0.0
0.5350378787878788,0.011363636363636364,0.0
0.5350378787878788,0.011363636363636364,0.08333333333333333
0.5350378787878788,0.09090909090909091,0.08333333333333333
0.5350378787878788,0.09090909090909091,0.16666666666666666
0.5350378787878788,0.11363636363636363,0.16666666666666666
0.5350378787878788,0.11363636363636363,0.3333333333333333
0.5350378787878788,0.19318181818181818,0.3333333333333333
0.5350378787878788,0.19318181818181818,0.4166666666666667
0.5350378787878788,0.3068181818181818,0.4166666666666667
0.5350378787878788,0.3068181818181818,0.5
0.5350378787878788,0.4431818181818182,0.5
0.5350378787878788,0.4431818181818182,0.5833333333333334
0.5350378787878788,0.6590909090909091,0.5833333333333334
0.5350378787878788,0.6590909090909091,0.6666666666666666
0.5350378787878788,0.8409090909090909,0.6666666666666666
0.5350378787878788,0.8409090909090909,0.75
0.5350378787878788,0.8977272727272727,0.75
0.5350378787878788,0.8977272727272727,0.8333333333333334
0.5350378787878788,0.9090909090909091,0.8333333333333334
0.5350378787878788,0.9090909090909091,0.9166666666666666
0.5350378787878788,0.9318181818181818,0.9166666666666666
0.5350378787878788,0.9545454545454546,0.9166666666666666
0.5350378787878788,1.0,0.9166666666666666
0.5350378787878788,1.0,1.0
