AUC,FPR,TPR
0.6174242424242424,0.0,0.0
0.6174242424242424,0.011363636363636364,0.0
0.6174242424242424,0.03409090909090909,0.0
0.6174242424242424,0.03409090909090909,0.08333333333333333
0.6174242424242424,0.10227272727272728,0.08333333333333333
0.6174242424242424,0.10227272727272728,0.25
0.6174242424242424,0.11363636363636363,0.25
0.6174242424242424,0.11363636363636363,0.3333333333333333
0.6174242424242424,0.125,0.3333333333333333
0.6174242424242424,0.125,0.5
0.6174242424242424,0.19318181818181818,0.5
0.6174242424242424,0.19318181818181818,0.5833333333333334
0.6174242424242424,0.6477272727272727,0.5833333333333334
0.6174242424242424,0.6477272727272727,0.6666666666666666
0.6174242424242424,0.7045454545454546,0.6666666666666666
0.6174242424242424,0.7045454545454546,0.75
0.6174242424242424,0.7159090909090909,0.75
0.6174242424242424,0.7159090909090909,0.8333333333333334
0.6174242424242424,0.7954545454545454,0.8333333333333334
0.6174242424242424,0.7954545454545454,0.9166666666666666
0.6174242424242424,0.9318181818181818,0.9166666666666666
0.6174242424242424,0.9318181818181818,1.0
0.6174242424242424,0.9431818181818182,1.0
0.6174242424242424,0.9659090909090909,1.0
0.6174242424242424,1.0,1.0
