AUC,FPR,TPR
0.48200757575757586,0.0,0.0
0.48200757575757586,0.011363636363636364,0.0
0.48200757575757586,0.011363636363636364,0.08333333333333333
0.48200757575757586,0.06818181818181818,0.08333333333333333
0.48200757575757586,0.06818181818181818,0.25
0.48200757575757586,0.14772727272727273,0.25
0.48200757575757586,0.14772727272727273,0.3333333333333333
0.48200757575757586,0.29545454545454547,0.3333333333333333
0.48200757575757586,0.29545454545454547,0.4166666666666667
0.48200757575757586,0.3068181818181818,0.4166666666666667
0.48200757575757586,0.32954545454545453,0.4166666666666667
0.48200757575757586,0.3409090909090909,0.4166666666666667
0.48200757575757586,0.3409090909090909,0.5
0.48200757575757586,0.7954545454545454,0.5
0.48200757575757586,0.7954545454545454,0.6666666666666666
0.48200757575757586,0.9090909090909091,0.6666666666666666
0.48200757575757586,0.9090909090909091,0.75
0.48200757575757586,0.9204545454545454,0.75
0.48200757575757586,0.9204545454545454,0.9166666666666666
0.48200757575757586,0.9431818181818182,0.9166666666666666
0.48200757575757586,0.9431818181818182,1.0
0.48200757575757586,1.0,1.0
