AUC,FPR,TPR
0.793560606060606,0.0,0.0
0.793560606060606,0.011363636363636364,0.0
0.793560606060606,0.011363636363636364,0.16666666666666666
0.793560606060606,0.13636363636363635,0.16666666666666666
0.793560606060606,0.13636363636363635,0.3333333333333333
0.793560606060606,0.2159090909090909,0.3333333333333333
0.793560606060606,0.2159090909090909,0.4166666666666667
0.793560606060606,0.23863636363636365,0.4166666666666667
0.793560606060606,0.23863636363636365,0.5
0.793560606060606,0.25,0.5
0.793560606060606,0.25,0.5833333333333334
0.793560606060606,0.2727272727272727,0.5833333333333334
0.793560606060606,0.2727272727272727,0.6666666666666666
0.793560606060606,0.29545454545454547,0.6666666666666666
0.793560606060606,0.29545454545454547,0.8333333333333334
0.793560606060606,0.3068181818181818,0.8333333333333334
0.793560606060606,0.3068181818181818,1.0
0.793560606060606,0.8977272727272727,1.0
0.793560606060606,0.9204545454545454,1.0
0.793560606060606,1.0,1.0
