AUC,FPR,TPR
0.9176528599605523,0.0,0.0
0.9176528599605523,0.0,0.3076923076923077
0.9176528599605523,0.0,0.5384615384615384
0.9176528599605523,0.02564102564102564,0.5384615384615384
0.9176528599605523,0.02564102564102564,0.6153846153846154
0.9176528599605523,0.05128205128205128,0.6153846153846154
0.9176528599605523,0.05128205128205128,0.8461538461538461
0.9176528599605523,0.07692307692307693,0.8461538461538461
0.9176528599605523,0.07692307692307693,0.8846153846153846
0.9176528599605523,0.2564102564102564,0.8846153846153846
0.9176528599605523,0.3076923076923077,0.8846153846153846
0.9176528599605523,0.3333333333333333,0.8846153846153846
0.9176528599605523,0.3333333333333333,0.9230769230769231
0.9176528599605523,0.48717948717948717,0.9230769230769231
0.9176528599605523,0.48717948717948717,0.9615384615384616
0.9176528599605523,0.5128205128205128,0.9615384615384616
0.9176528599605523,0.6923076923076923,0.9615384615384616
0.9176528599605523,0.7435897435897436,0.9615384615384616
0.9176528599605523,0.8205128205128205,0.9615384615384616
0.9176528599605523,0.8717948717948718,0.9615384615384616
0.9176528599605523,0.8974358974358975,1.0
0.9176528599605523,0.9230769230769231,1.0
0.9176528599605523,0.9743589743589743,1.0
0.9176528599605523,1.0,1.0
