AUC,FPR,TPR
0.7537878787878788,0.0,0.0
0.7537878787878788,0.011363636363636364,0.0
0.7537878787878788,0.011363636363636364,0.08333333333333333
0.7537878787878788,0.022727272727272728,0.08333333333333333
0.7537878787878788,0.022727272727272728,0.16666666666666666
0.7537878787878788,0.11363636363636363,0.16666666666666666
0.7537878787878788,0.11363636363636363,0.25
0.7537878787878788,0.13636363636363635,0.25
0.7537878787878788,0.13636363636363635,0.3333333333333333
0.7537878787878788,0.20454545454545456,0.3333333333333333
0.7537878787878788,0.20454545454545456,0.4166666666666667
0.7537878787878788,0.2159090909090909,0.4166666666666667
0.7537878787878788,0.2159090909090909,0.5
0.7537878787878788,0.25,0.5
0.7537878787878788,0.25,0.5833333333333334
0.7537878787878788,0.26136363636363635,0.5833333333333334
0.7537878787878788,0.26136363636363635,0.6666666666666666
0.7537878787878788,0.2727272727272727,0.6666666666666666
0.7537878787878788,0.2727272727272727,0.75
0.7537878787878788,0.2840909090909091,0.75
0.7537878787878788,0.2840909090909091,0.8333333333333334
0.7537878787878788,0.29545454545454547,0.8333333333333334
0.7537878787878788,0.29545454545454547,0.9166666666666666
0.7537878787878788,0.45454545454545453,0.9166666666666666
0.7537878787878788,0.4772727272727273,0.9166666666666666
0.7537878787878788,0.8863636363636364,0.9166666666666666
0.7537878787878788,0.8863636363636364,1.0
0.7537878787878788,1.0,1.0
